2021-06-14_101841 CO2: 395.13ppm, temp: 26.39'C, rh: 74.71%
2021-06-14_102848 CO2: 400.86ppm, temp: 26.40'C, rh: 74.28%
2021-06-14_103854 CO2: 399.57ppm, temp: 26.40'C, rh: 73.80%
2021-06-14_104901 CO2: 410.45ppm, temp: 26.33'C, rh: 73.76%
2021-06-14_105907 CO2: 405.13ppm, temp: 26.25'C, rh: 74.03%
2021-06-14_110914 CO2: 416.60ppm, temp: 26.24'C, rh: 74.20%
2021-06-14_111921 CO2: 424.99ppm, temp: 26.26'C, rh: 74.42%
2021-06-14_112927 CO2: 428.70ppm, temp: 26.28'C, rh: 74.51%
2021-06-14_113934 CO2: 433.87ppm, temp: 26.31'C, rh: 74.56%
2021-06-14_114941 CO2: 426.38ppm, temp: 26.32'C, rh: 74.66%
2021-06-14_115947 CO2: 423.56ppm, temp: 26.33'C, rh: 74.82%
2021-06-14_120954 CO2: 408.36ppm, temp: 26.35'C, rh: 74.81%
2021-06-14_122001 CO2: 399.47ppm, temp: 26.31'C, rh: 74.95%
2021-06-14_123007 CO2: 393.13ppm, temp: 26.32'C, rh: 75.04%
2021-06-14_124014 CO2: 384.99ppm, temp: 26.31'C, rh: 74.94%
2021-06-14_125021 CO2: 401.47ppm, temp: 26.33'C, rh: 73.22%
2021-06-14_130027 CO2: 398.64ppm, temp: 26.29'C, rh: 74.76%
2021-06-14_131034 CO2: 390.46ppm, temp: 26.35'C, rh: 74.86%
2021-06-14_132041 CO2: 384.82ppm, temp: 26.39'C, rh: 74.90%
2021-06-14_133047 CO2: 389.41ppm, temp: 26.38'C, rh: 74.93%
2021-06-14_134054 CO2: 387.52ppm, temp: 26.40'C, rh: 74.87%
2021-06-14_135101 CO2: 398.69ppm, temp: 26.43'C, rh: 67.24%
2021-06-14_140107 CO2: 439.51ppm, temp: 27.02'C, rh: 59.50%
2021-06-14_141114 CO2: 467.42ppm, temp: 27.37'C, rh: 64.57%
2021-06-14_142121 CO2: 459.15ppm, temp: 26.40'C, rh: 68.81%
2021-06-14_143127 CO2: 439.37ppm, temp: 26.09'C, rh: 71.20%
2021-06-14_144134 CO2: 422.58ppm, temp: 26.18'C, rh: 71.59%
2021-06-14_145141 CO2: 414.55ppm, temp: 26.22'C, rh: 71.62%
2021-06-14_150147 CO2: 404.87ppm, temp: 26.22'C, rh: 71.32%
2021-06-14_151154 CO2: 400.22ppm, temp: 26.22'C, rh: 71.41%
2021-06-14_152201 CO2: 398.76ppm, temp: 26.32'C, rh: 71.39%
2021-06-14_153207 CO2: 395.52ppm, temp: 26.28'C, rh: 71.34%
2021-06-14_154214 CO2: 391.33ppm, temp: 26.26'C, rh: 71.36%
2021-06-14_155221 CO2: 395.95ppm, temp: 26.24'C, rh: 71.47%
2021-06-14_160227 CO2: 393.37ppm, temp: 26.24'C, rh: 71.57%
2021-06-14_161234 CO2: 392.66ppm, temp: 26.26'C, rh: 71.57%
2021-06-14_162241 CO2: 391.30ppm, temp: 26.25'C, rh: 71.66%
2021-06-14_163247 CO2: 388.38ppm, temp: 26.26'C, rh: 71.60%
2021-06-14_164254 CO2: 383.00ppm, temp: 26.29'C, rh: 71.54%
2021-06-14_165301 CO2: 385.61ppm, temp: 26.29'C, rh: 71.50%
2021-06-14_170307 CO2: 386.03ppm, temp: 26.32'C, rh: 71.30%
2021-06-14_171314 CO2: 385.29ppm, temp: 26.28'C, rh: 71.38%
2021-06-14_172320 CO2: 381.93ppm, temp: 26.31'C, rh: 71.39%
2021-06-14_173327 CO2: 382.92ppm, temp: 26.28'C, rh: 71.36%
2021-06-14_174334 CO2: 381.27ppm, temp: 26.25'C, rh: 71.28%
2021-06-14_175340 CO2: 390.01ppm, temp: 26.26'C, rh: 71.31%
2021-06-14_180347 CO2: 384.51ppm, temp: 26.28'C, rh: 71.28%
2021-06-14_181354 CO2: 379.60ppm, temp: 26.29'C, rh: 71.18%
2021-06-14_182400 CO2: 382.38ppm, temp: 26.32'C, rh: 71.09%
2021-06-14_183407 CO2: 385.46ppm, temp: 26.33'C, rh: 71.03%
2021-06-14_184414 CO2: 373.71ppm, temp: 26.32'C, rh: 70.96%
2021-06-14_185420 CO2: 375.20ppm, temp: 26.36'C, rh: 70.92%
2021-06-14_190427 CO2: 373.75ppm, temp: 26.38'C, rh: 70.87%
2021-06-14_191434 CO2: 376.84ppm, temp: 26.38'C, rh: 70.78%
2021-06-14_192440 CO2: 372.31ppm, temp: 26.35'C, rh: 70.74%
2021-06-14_193447 CO2: 376.16ppm, temp: 26.29'C, rh: 70.77%
2021-06-14_194454 CO2: 376.07ppm, temp: 26.28'C, rh: 70.81%
2021-06-14_195500 CO2: 376.39ppm, temp: 26.28'C, rh: 70.78%
2021-06-14_200507 CO2: 377.89ppm, temp: 26.26'C, rh: 70.76%
2021-06-14_201514 CO2: 380.23ppm, temp: 26.31'C, rh: 70.69%
2021-06-14_202520 CO2: 381.77ppm, temp: 26.29'C, rh: 71.02%
2021-06-14_203527 CO2: 380.90ppm, temp: 26.31'C, rh: 70.83%
2021-06-14_204534 CO2: 383.29ppm, temp: 26.31'C, rh: 70.58%
2021-06-14_205540 CO2: 378.88ppm, temp: 26.29'C, rh: 71.46%
2021-06-14_210540 CO2: 385.98ppm, temp: 26.29'C, rh: 70.89%
2021-06-14_211540 CO2: 383.51ppm, temp: 26.29'C, rh: 71.42%
2021-06-14_212541 CO2: 383.83ppm, temp: 26.35'C, rh: 71.20%
2021-06-14_213541 CO2: 383.61ppm, temp: 26.31'C, rh: 70.64%
2021-06-14_214541 CO2: 387.02ppm, temp: 26.32'C, rh: 71.43%
2021-06-14_215541 CO2: 385.28ppm, temp: 26.32'C, rh: 70.64%
2021-06-14_220541 CO2: 381.48ppm, temp: 26.32'C, rh: 71.37%
2021-06-14_221541 CO2: 386.28ppm, temp: 26.32'C, rh: 70.52%
2021-06-14_222541 CO2: 387.04ppm, temp: 26.31'C, rh: 71.14%
2021-06-14_223541 CO2: 386.42ppm, temp: 26.35'C, rh: 71.71%
