2021-06-10_044029 CO2: 483.40ppm, temp: 19.33'C, rh: 80.72%
2021-06-10_045030 CO2: 484.67ppm, temp: 19.31'C, rh: 80.69%
2021-06-10_050030 CO2: 488.09ppm, temp: 19.31'C, rh: 80.80%
2021-06-10_051030 CO2: 489.68ppm, temp: 19.30'C, rh: 80.90%
2021-06-10_052030 CO2: 488.35ppm, temp: 19.29'C, rh: 80.83%
2021-06-10_053030 CO2: 494.95ppm, temp: 19.27'C, rh: 80.89%
2021-06-10_054030 CO2: 499.14ppm, temp: 19.30'C, rh: 80.92%
2021-06-10_055030 CO2: 497.70ppm, temp: 19.30'C, rh: 80.80%
2021-06-10_060030 CO2: 499.36ppm, temp: 19.29'C, rh: 80.83%
2021-06-10_061031 CO2: 498.32ppm, temp: 19.26'C, rh: 80.99%
2021-06-10_062031 CO2: 495.91ppm, temp: 19.27'C, rh: 81.05%
2021-06-10_063031 CO2: 490.92ppm, temp: 19.26'C, rh: 80.91%
2021-06-10_064031 CO2: 492.22ppm, temp: 19.25'C, rh: 80.97%
2021-06-10_065031 CO2: 494.60ppm, temp: 19.25'C, rh: 81.06%
2021-06-10_070031 CO2: 489.59ppm, temp: 19.23'C, rh: 81.12%
2021-06-10_071031 CO2: 490.34ppm, temp: 19.25'C, rh: 81.00%
2021-06-10_072031 CO2: 486.27ppm, temp: 19.23'C, rh: 80.97%
2021-06-10_073031 CO2: 482.95ppm, temp: 19.23'C, rh: 81.09%
2021-06-10_074032 CO2: 482.03ppm, temp: 19.23'C, rh: 81.14%
2021-06-10_075032 CO2: 480.73ppm, temp: 19.22'C, rh: 81.09%
2021-06-10_080032 CO2: 475.58ppm, temp: 19.23'C, rh: 81.12%
2021-06-10_081040 CO2: 470.28ppm, temp: 19.22'C, rh: 81.25%
2021-06-10_082049 CO2: 463.75ppm, temp: 19.23'C, rh: 81.07%
2021-06-10_083057 CO2: 463.88ppm, temp: 19.20'C, rh: 81.03%
2021-06-10_084105 CO2: 455.59ppm, temp: 19.17'C, rh: 81.00%
2021-06-10_085114 CO2: 451.70ppm, temp: 19.19'C, rh: 81.04%
2021-06-10_090121 CO2: 455.60ppm, temp: 19.23'C, rh: 81.30%
2021-06-10_091127 CO2: 467.72ppm, temp: 21.15'C, rh: 92.76%
2021-06-10_092134 CO2: 475.87ppm, temp: 25.13'C, rh: 93.97%
2021-06-10_093141 CO2: 478.63ppm, temp: 25.73'C, rh: 84.32%
2021-06-10_094147 CO2: 486.09ppm, temp: 25.96'C, rh: 78.29%
2021-06-10_095154 CO2: 494.10ppm, temp: 26.09'C, rh: 77.26%
2021-06-10_100200 CO2: 501.94ppm, temp: 26.19'C, rh: 76.08%
2021-06-10_101207 CO2: 498.62ppm, temp: 26.26'C, rh: 74.93%
2021-06-10_102214 CO2: 479.80ppm, temp: 26.26'C, rh: 74.11%
2021-06-10_103220 CO2: 468.72ppm, temp: 26.29'C, rh: 73.28%
2021-06-10_104227 CO2: 450.61ppm, temp: 26.31'C, rh: 72.43%
2021-06-10_105234 CO2: 440.11ppm, temp: 26.42'C, rh: 71.79%
2021-06-10_110240 CO2: 426.47ppm, temp: 26.57'C, rh: 68.76%
2021-06-10_111247 CO2: 504.73ppm, temp: 26.43'C, rh: 66.50%
2021-06-10_112254 CO2: 489.54ppm, temp: 26.29'C, rh: 70.41%
2021-06-10_113300 CO2: 466.19ppm, temp: 26.32'C, rh: 70.40%
2021-06-10_114307 CO2: 449.57ppm, temp: 26.36'C, rh: 71.26%
2021-06-10_115314 CO2: 436.15ppm, temp: 26.38'C, rh: 63.86%
2021-06-10_120320 CO2: 464.42ppm, temp: 27.14'C, rh: 54.17%
2021-06-10_121327 CO2: 472.98ppm, temp: 27.70'C, rh: 47.57%
2021-06-10_122334 CO2: 481.74ppm, temp: 27.60'C, rh: 45.45%
2021-06-10_123340 CO2: 492.56ppm, temp: 27.58'C, rh: 44.01%
2021-06-10_124347 CO2: 491.05ppm, temp: 27.28'C, rh: 60.37%
2021-06-10_125354 CO2: 467.44ppm, temp: 26.83'C, rh: 62.87%
2021-06-10_130400 CO2: 467.17ppm, temp: 26.62'C, rh: 64.68%
2021-06-10_131407 CO2: 470.59ppm, temp: 26.52'C, rh: 65.72%
2021-06-10_132414 CO2: 511.54ppm, temp: 26.49'C, rh: 64.96%
2021-06-10_133420 CO2: 513.92ppm, temp: 26.50'C, rh: 66.78%
2021-06-10_134427 CO2: 507.24ppm, temp: 26.46'C, rh: 66.98%
2021-06-10_135434 CO2: 500.91ppm, temp: 26.45'C, rh: 67.16%
2021-06-10_140440 CO2: 522.19ppm, temp: 26.45'C, rh: 65.82%
2021-06-10_141447 CO2: 517.12ppm, temp: 26.50'C, rh: 67.52%
2021-06-10_142454 CO2: 506.62ppm, temp: 26.53'C, rh: 67.46%
2021-06-10_143500 CO2: 484.78ppm, temp: 26.54'C, rh: 67.40%
2021-06-10_144507 CO2: 507.92ppm, temp: 26.53'C, rh: 67.36%
2021-06-10_145514 CO2: 502.62ppm, temp: 26.52'C, rh: 67.64%
2021-06-10_150520 CO2: 504.05ppm, temp: 26.53'C, rh: 67.65%
2021-06-10_151527 CO2: 530.79ppm, temp: 26.50'C, rh: 65.73%
2021-06-10_152534 CO2: 519.61ppm, temp: 26.53'C, rh: 66.81%
2021-06-10_153540 CO2: 506.66ppm, temp: 26.54'C, rh: 66.70%
2021-06-10_154547 CO2: 496.03ppm, temp: 26.54'C, rh: 66.64%
2021-06-10_155553 CO2: 489.09ppm, temp: 26.56'C, rh: 66.46%
2021-06-10_160600 CO2: 475.06ppm, temp: 26.54'C, rh: 66.14%
2021-06-10_161607 CO2: 452.73ppm, temp: 26.60'C, rh: 65.92%
2021-06-10_162613 CO2: 443.38ppm, temp: 26.59'C, rh: 65.69%
2021-06-10_163620 CO2: 429.93ppm, temp: 26.62'C, rh: 65.55%
2021-06-10_164627 CO2: 422.16ppm, temp: 26.63'C, rh: 65.45%
2021-06-10_165633 CO2: 410.98ppm, temp: 26.62'C, rh: 65.43%
2021-06-10_170640 CO2: 513.50ppm, temp: 26.57'C, rh: 61.71%
2021-06-10_171647 CO2: 442.29ppm, temp: 26.52'C, rh: 64.92%
2021-06-10_172653 CO2: 417.54ppm, temp: 26.49'C, rh: 65.69%
2021-06-10_173700 CO2: 406.93ppm, temp: 26.50'C, rh: 66.26%
2021-06-10_174707 CO2: 397.59ppm, temp: 26.52'C, rh: 66.48%
2021-06-10_175713 CO2: 400.87ppm, temp: 26.50'C, rh: 66.48%
2021-06-10_180720 CO2: 392.06ppm, temp: 26.50'C, rh: 66.38%
2021-06-10_181727 CO2: 381.56ppm, temp: 26.50'C, rh: 66.32%
2021-06-10_182733 CO2: 390.09ppm, temp: 26.50'C, rh: 66.22%
2021-06-10_183740 CO2: 379.85ppm, temp: 26.50'C, rh: 66.16%
2021-06-10_184746 CO2: 383.42ppm, temp: 26.50'C, rh: 66.20%
2021-06-10_185753 CO2: 381.95ppm, temp: 26.50'C, rh: 66.11%
2021-06-10_190800 CO2: 383.37ppm, temp: 26.50'C, rh: 66.02%
2021-06-10_191806 CO2: 383.58ppm, temp: 26.47'C, rh: 65.90%
2021-06-10_192813 CO2: 387.65ppm, temp: 26.46'C, rh: 65.82%
2021-06-10_193820 CO2: 383.99ppm, temp: 26.47'C, rh: 65.75%
2021-06-10_194826 CO2: 388.49ppm, temp: 26.49'C, rh: 65.51%
2021-06-10_195833 CO2: 385.52ppm, temp: 26.47'C, rh: 65.29%
2021-06-10_200840 CO2: 380.12ppm, temp: 26.47'C, rh: 65.10%
2021-06-10_201846 CO2: 382.49ppm, temp: 26.47'C, rh: 65.04%
2021-06-10_202853 CO2: 387.25ppm, temp: 26.46'C, rh: 64.91%
2021-06-10_203900 CO2: 388.48ppm, temp: 26.46'C, rh: 64.84%
2021-06-10_204906 CO2: 381.90ppm, temp: 26.45'C, rh: 64.79%
2021-06-10_205913 CO2: 383.19ppm, temp: 26.45'C, rh: 64.79%
2021-06-10_210913 CO2: 384.24ppm, temp: 26.47'C, rh: 64.71%
2021-06-10_211913 CO2: 382.92ppm, temp: 26.50'C, rh: 64.68%
2021-06-10_212913 CO2: 388.04ppm, temp: 26.50'C, rh: 64.67%
2021-06-10_213913 CO2: 392.46ppm, temp: 26.52'C, rh: 64.60%
2021-06-10_214913 CO2: 391.90ppm, temp: 26.50'C, rh: 64.50%
2021-06-10_215914 CO2: 391.15ppm, temp: 26.49'C, rh: 64.42%
2021-06-10_220914 CO2: 391.62ppm, temp: 26.47'C, rh: 64.34%
2021-06-10_221914 CO2: 397.08ppm, temp: 26.49'C, rh: 64.29%
2021-06-10_222914 CO2: 397.70ppm, temp: 26.47'C, rh: 64.29%
2021-06-10_223914 CO2: 403.38ppm, temp: 26.49'C, rh: 64.26%
2021-06-10_224914 CO2: 407.12ppm, temp: 26.50'C, rh: 64.12%
2021-06-10_225914 CO2: 403.10ppm, temp: 26.50'C, rh: 64.03%
2021-06-10_230914 CO2: 410.71ppm, temp: 26.52'C, rh: 63.93%
2021-06-10_231914 CO2: 413.48ppm, temp: 26.54'C, rh: 63.84%
2021-06-10_232915 CO2: 412.93ppm, temp: 26.52'C, rh: 63.82%
2021-06-10_233915 CO2: 408.86ppm, temp: 26.53'C, rh: 63.87%
2021-06-10_234915 CO2: 411.23ppm, temp: 26.56'C, rh: 63.80%
2021-06-10_235915 CO2: 417.73ppm, temp: 26.53'C, rh: 63.71%
2021-06-11_000915 CO2: 418.93ppm, temp: 26.54'C, rh: 63.64%
2021-06-11_001915 CO2: 417.86ppm, temp: 26.54'C, rh: 63.60%
2021-06-11_002915 CO2: 422.81ppm, temp: 26.53'C, rh: 63.67%
2021-06-11_003915 CO2: 422.27ppm, temp: 26.54'C, rh: 63.82%
2021-06-11_004915 CO2: 421.32ppm, temp: 26.56'C, rh: 64.00%
2021-06-11_005916 CO2: 422.72ppm, temp: 26.50'C, rh: 64.25%
2021-06-11_010916 CO2: 436.47ppm, temp: 25.57'C, rh: 51.94%
2021-06-11_011916 CO2: 450.96ppm, temp: 22.17'C, rh: 52.55%
2021-06-11_012916 CO2: 453.25ppm, temp: 19.57'C, rh: 71.98%
2021-06-11_013916 CO2: 451.01ppm, temp: 19.27'C, rh: 79.88%
2021-06-11_014916 CO2: 449.79ppm, temp: 19.46'C, rh: 77.93%
2021-06-11_015916 CO2: 449.05ppm, temp: 19.47'C, rh: 77.40%
2021-06-11_020916 CO2: 447.08ppm, temp: 19.41'C, rh: 77.88%
2021-06-11_021917 CO2: 451.83ppm, temp: 19.38'C, rh: 77.96%
2021-06-11_022917 CO2: 448.03ppm, temp: 19.36'C, rh: 78.03%
2021-06-11_023917 CO2: 443.35ppm, temp: 19.36'C, rh: 78.17%
2021-06-11_024917 CO2: 444.12ppm, temp: 19.36'C, rh: 77.91%
2021-06-11_025917 CO2: 444.61ppm, temp: 19.37'C, rh: 78.02%
2021-06-11_030917 CO2: 440.87ppm, temp: 19.33'C, rh: 77.82%
2021-06-11_031917 CO2: 438.58ppm, temp: 19.31'C, rh: 77.70%
2021-06-11_032917 CO2: 433.56ppm, temp: 19.31'C, rh: 77.52%
2021-06-11_033917 CO2: 435.45ppm, temp: 19.33'C, rh: 77.43%
2021-06-11_034918 CO2: 429.84ppm, temp: 19.34'C, rh: 76.98%
2021-06-11_035918 CO2: 429.52ppm, temp: 19.33'C, rh: 76.46%
2021-06-11_040918 CO2: 432.38ppm, temp: 19.33'C, rh: 75.87%
2021-06-11_041918 CO2: 435.41ppm, temp: 19.30'C, rh: 75.21%
2021-06-11_042918 CO2: 435.87ppm, temp: 19.30'C, rh: 74.65%
2021-06-11_043918 CO2: 435.66ppm, temp: 19.30'C, rh: 74.14%
2021-06-11_044918 CO2: 436.80ppm, temp: 19.29'C, rh: 73.73%
2021-06-11_045918 CO2: 439.04ppm, temp: 19.31'C, rh: 73.35%
2021-06-11_050919 CO2: 441.64ppm, temp: 19.30'C, rh: 72.99%
2021-06-11_051919 CO2: 433.66ppm, temp: 19.31'C, rh: 72.64%
2021-06-11_052919 CO2: 431.72ppm, temp: 19.30'C, rh: 72.24%
2021-06-11_053919 CO2: 429.85ppm, temp: 19.27'C, rh: 71.91%
2021-06-11_054919 CO2: 439.93ppm, temp: 19.26'C, rh: 71.63%
2021-06-11_055919 CO2: 438.30ppm, temp: 19.27'C, rh: 71.35%
2021-06-11_060919 CO2: 439.34ppm, temp: 19.27'C, rh: 71.13%
2021-06-11_061919 CO2: 439.46ppm, temp: 19.26'C, rh: 70.96%
2021-06-11_062920 CO2: 438.43ppm, temp: 19.27'C, rh: 70.88%
2021-06-11_063920 CO2: 432.19ppm, temp: 19.26'C, rh: 70.81%
2021-06-11_064920 CO2: 431.71ppm, temp: 19.25'C, rh: 70.64%
2021-06-11_065920 CO2: 433.23ppm, temp: 19.25'C, rh: 70.61%
2021-06-11_070920 CO2: 441.35ppm, temp: 19.25'C, rh: 70.59%
2021-06-11_071920 CO2: 442.11ppm, temp: 19.26'C, rh: 70.55%
2021-06-11_072920 CO2: 441.12ppm, temp: 19.25'C, rh: 70.55%
2021-06-11_073920 CO2: 442.78ppm, temp: 19.22'C, rh: 70.55%
2021-06-11_074920 CO2: 446.17ppm, temp: 19.25'C, rh: 70.59%
2021-06-11_075921 CO2: 435.25ppm, temp: 19.19'C, rh: 70.65%
2021-06-11_080929 CO2: 438.58ppm, temp: 19.22'C, rh: 70.72%
2021-06-11_081937 CO2: 434.16ppm, temp: 19.23'C, rh: 71.86%
2021-06-11_082946 CO2: 429.58ppm, temp: 19.26'C, rh: 71.96%
2021-06-11_083954 CO2: 430.60ppm, temp: 19.25'C, rh: 71.35%
2021-06-11_085002 CO2: 426.17ppm, temp: 19.26'C, rh: 71.04%
2021-06-11_090009 CO2: 430.54ppm, temp: 19.26'C, rh: 70.91%
2021-06-11_091016 CO2: 427.64ppm, temp: 20.44'C, rh: 74.86%
2021-06-11_092023 CO2: 415.39ppm, temp: 23.73'C, rh: 74.37%
2021-06-11_093029 CO2: 420.60ppm, temp: 25.64'C, rh: 66.48%
2021-06-11_094036 CO2: 438.35ppm, temp: 25.99'C, rh: 63.66%
2021-06-11_095042 CO2: 455.05ppm, temp: 26.06'C, rh: 63.29%
2021-06-11_100049 CO2: 468.76ppm, temp: 26.19'C, rh: 62.83%
2021-06-11_101056 CO2: 452.78ppm, temp: 26.25'C, rh: 62.38%
2021-06-11_102102 CO2: 441.99ppm, temp: 26.31'C, rh: 62.21%
2021-06-11_103109 CO2: 424.79ppm, temp: 26.33'C, rh: 62.16%
2021-06-11_104116 CO2: 413.11ppm, temp: 26.33'C, rh: 62.26%
2021-06-11_105122 CO2: 404.77ppm, temp: 26.32'C, rh: 62.44%
2021-06-11_110129 CO2: 393.51ppm, temp: 26.35'C, rh: 62.70%
2021-06-11_111136 CO2: 388.96ppm, temp: 26.35'C, rh: 62.95%
2021-06-11_112142 CO2: 407.75ppm, temp: 26.33'C, rh: 61.00%
2021-06-11_113149 CO2: 417.08ppm, temp: 26.31'C, rh: 60.47%
2021-06-11_114156 CO2: 414.60ppm, temp: 26.36'C, rh: 63.31%
2021-06-11_115202 CO2: 414.02ppm, temp: 26.39'C, rh: 63.52%
2021-06-11_120209 CO2: 402.50ppm, temp: 26.39'C, rh: 63.39%
2021-06-11_121215 CO2: 396.64ppm, temp: 26.39'C, rh: 63.40%
2021-06-11_122222 CO2: 393.00ppm, temp: 26.40'C, rh: 63.49%
2021-06-11_123229 CO2: 387.92ppm, temp: 26.42'C, rh: 63.49%
2021-06-11_124235 CO2: 402.47ppm, temp: 26.36'C, rh: 62.11%
2021-06-11_125242 CO2: 393.56ppm, temp: 26.38'C, rh: 63.71%
2021-06-11_130249 CO2: 393.07ppm, temp: 26.40'C, rh: 64.09%
2021-06-11_131255 CO2: 387.14ppm, temp: 26.40'C, rh: 64.45%
2021-06-11_132302 CO2: 381.51ppm, temp: 26.42'C, rh: 64.71%
2021-06-11_133308 CO2: 379.15ppm, temp: 26.43'C, rh: 64.83%
2021-06-11_134315 CO2: 383.58ppm, temp: 26.45'C, rh: 64.97%
2021-06-11_135322 CO2: 410.39ppm, temp: 26.46'C, rh: 64.38%
2021-06-11_140328 CO2: 396.57ppm, temp: 26.45'C, rh: 65.15%
2021-06-11_141335 CO2: 385.21ppm, temp: 26.45'C, rh: 65.47%
2021-06-11_142342 CO2: 375.00ppm, temp: 26.46'C, rh: 65.92%
2021-06-11_143348 CO2: 374.17ppm, temp: 26.43'C, rh: 66.16%
2021-06-11_144355 CO2: 371.52ppm, temp: 26.43'C, rh: 66.33%
2021-06-11_145401 CO2: 374.94ppm, temp: 26.47'C, rh: 66.51%
2021-06-11_150408 CO2: 375.53ppm, temp: 26.46'C, rh: 66.63%
2021-06-11_151415 CO2: 372.64ppm, temp: 26.50'C, rh: 66.77%
2021-06-11_152421 CO2: 375.60ppm, temp: 26.49'C, rh: 66.84%
2021-06-11_153428 CO2: 406.81ppm, temp: 26.45'C, rh: 66.04%
2021-06-11_154435 CO2: 390.85ppm, temp: 26.43'C, rh: 67.07%
2021-06-11_155441 CO2: 378.92ppm, temp: 26.42'C, rh: 67.42%
2021-06-11_160448 CO2: 366.05ppm, temp: 26.42'C, rh: 67.68%
2021-06-11_161455 CO2: 364.98ppm, temp: 26.40'C, rh: 67.82%
2021-06-11_162501 CO2: 369.48ppm, temp: 26.43'C, rh: 67.91%
2021-06-11_163508 CO2: 367.31ppm, temp: 26.43'C, rh: 67.97%
2021-06-11_164515 CO2: 366.37ppm, temp: 26.45'C, rh: 68.08%
2021-06-11_165521 CO2: 365.54ppm, temp: 26.46'C, rh: 68.20%
2021-06-11_170528 CO2: 369.97ppm, temp: 26.47'C, rh: 68.42%
2021-06-11_171535 CO2: 364.63ppm, temp: 26.49'C, rh: 68.59%
2021-06-11_172541 CO2: 371.01ppm, temp: 26.46'C, rh: 67.98%
2021-06-11_173548 CO2: 381.63ppm, temp: 26.47'C, rh: 70.14%
2021-06-11_174555 CO2: 390.25ppm, temp: 26.47'C, rh: 69.76%
2021-06-11_175601 CO2: 383.87ppm, temp: 26.52'C, rh: 69.65%
2021-06-11_180608 CO2: 461.53ppm, temp: 26.50'C, rh: 68.37%
2021-06-11_181615 CO2: 443.81ppm, temp: 26.53'C, rh: 68.88%
2021-06-11_182621 CO2: 427.92ppm, temp: 26.54'C, rh: 69.89%
